1;No. 5;Chanel;[Aldehydes, Jasmine, Rose, Sandalwood, Vanilla, Musk];Floral
2;Sauvage;Dior;[Calabrian Bergamot, Sichuan Pepper, Ambroxan, Patchouli, Lavender];Fresh
3;Aventus;Creed;[Pineapple, Birch, Musk, Ambergris, Oakmoss];Wood
4;Black Orchid;Tom Ford;[Black Truffle, Bergamot, Black Orchid, Patchouli, Vanilla];Amber
5;Santal 33;Le Labo;[Sandalwood, Cedarwood, Cardamom, Iris, Leather];Wood
6;Black Opium;Yves Saint Laurent;[Coffee, Vanilla, White Flowers, Cedarwood, Pink Pepper];Amber
7;Shalimar;Guerlain;[Bergamot, Iris, Jasmine, Vanilla, Tonka Bean, Amber];Amber
8;Flowerbomb;Viktor & Rolf;[Jasmine, Orange Blossom, Patchouli, Vanilla, Orchid];Floral
9;Lime Basil & Mandarin;Jo Malone London;[Lime, Basil, Mandarin, Thyme, Amberwood];Fresh
10;Baccarat Rouge 540;Maison Francis Kurkdjian;[Saffron, Amberwood, Cedar, Fir Resin, Jasmine];Amber
11;Tobacco Vanille;Tom Ford;[Tobacco, Vanilla, Dried Fruits, Tonka Bean, Spices];Amber
12;Eau de Parfum;Chloé;[Peony, Rose, Honey, Cedarwood, Amber];Floral
13;Philosykos;Diptyque;[Fig, Fig Leaves, Cedar, Woodsy Notes, Green Notes];Fresh
14;Gypsy Water;Byredo;[Juniper Berries, Lemon, Vanilla, Amber, Sandalwood];Fresh
15;Terre d'Hermès;Hermès;[Orange, Vetiver, Cedar, Pepper, Flint];Wood
16;Colonia;Acqua di Parma;[Citrus, Lavender, Rosemary, Verbena, Sandalwood];Fresh
17;La Vie Est Belle;Lancôme;[Iris, Patchouli, Praline, Vanilla, Jasmine];Floral
18;Peony & Blush Suede;Jo Malone London;[Red Apple, Peony, Jasmine, Suede, Musk];Floral
19;Light Blue;Dolce & Gabbana;[Sicilian Lemon, Apple, Cedarwood, Bamboo, Jasmine];Fresh
20;Bloom;Gucci;[Jasmine, Tuberose, Rangoon Creeper, Honeysuckle];Floral
21;Mon Paris;Yves Saint Laurent;[Strawberry, Pear, Datura, Patchouli, White Musk];Floral
22;L'Interdit;Givenchy;[Tuberose, Jasmine, Orange Blossom, Patchouli, Vetiver];Floral
23;Green Irish Tweed;Creed;[Lemon Verbena, Violet Leaf, Iris, Sandalwood, Ambergris];Fresh
24;Spicebomb;Viktor & Rolf;[Cinnamon, Pink Pepper, Tobacco, Saffron, Leather];Amber
25;For Her;Narciso Rodriguez;[Musk, Rose, Patchouli, Amber, Vanilla];Amber
26;La Panthère;Cartier;[Gardenia, Musk, Oakmoss, Leather, Ylang-Ylang];Wood
27;By the Fireplace;Maison Margiela;[Chestnut, Juniper Berries, Vanilla, Wood, Clove];Amber
28;Omnia Crystalline;Bvlgari;[Lotus, Bamboo, Pear, Tea, Musk];Fresh
29;1 Million;Paco Rabanne;[Grapefruit, Mint, Rose, Cinnamon, Leather];Amber
30;Flower by Kenzo;Kenzo;[Rose, Violet, Vanilla, Opoponax, White Musk];Floral
31;Smell of Weather Turning;Lush;[Violet Leaf, Lavender, Patchouli, Clove, Wood];Wood
32;Oud Wood;Tom Ford;[Oud, Spices, Vanilla, Amber, Tonka Bean];Wood
33;Alien;Mugler;[Jasmine Sambac, Cashmeran, Amber, Woody Notes];Amber
34;Aura;Mugler;[Rhubarb, Orange Blossom, Vanilla, Wolfwood, Bourbon];Amber
35;Portrait of a Lady;Frédéric Malle;[Rose, Raspberry, Clove, Patchouli, Sandalwood];Floral
36;Lady Million;Paco Rabanne;[Bitter Orange, Neroli, Jasmine, Patchouli, Honey];Floral
37;Costa Azzurra;Tom Ford;[Cypress, Juniper, Vanilla, Amber, Oakmoss];Wood
38;CK One;Calvin Klein;[Pineapple, Green Tea, Papaya, Jasmine, Musk];Fresh
39;Jazz Club;Maison Margiela;[Rum, Tobacco, Vanilla, Tonka Bean, Lemon];Amber
40;Eau des Merveilles;Hermès;[Orange, Amber, Cedarwood, Elemi, Musk];Amber
41;Un Jardin sur le Nil;Hermès;[Ginger, Grapefruit, Tomato, Lotus, Mango];Fresh
42;Gabrielle;Chanel;[Jasmine, Orange Blossom, Ylang-Ylang, Tuberose, Sandalwood];Floral
43;Ambre Sultan;Serge Lutens;[Amber, Spices, Vanilla, Patchouli, Myrrh];Amber
44;Bonbon;Viktor & Rolf;[Peach, Orange, Caramel, Amber, Musk];Amber
45;Coco Mademoiselle;Chanel;[Orange, Jasmine, Rose, Patchouli, Vetiver];Floral
46;Acqua di Gio;Giorgio Armani;[Bergamot, Jasmine, Rosemary, Patchouli, Amber];Fresh
47;L'Eau d'Issey;Issey Miyake;[Lotus, Freesia, Rose, Amber, Musk];Fresh
48;Shalimar;Guerlain;[Bergamot, Iris, Jasmine, Vanilla, Tonka Bean, Amber];Amber
49;Addict;Dior;[Silk Tree Flower, Vanilla, Myrrh, Tonka Bean, Sandalwood];Amber